timestamp,open,high,low,close,volume,ma_5,ma_10,rsi,future_close,target
2025-03-25 18:34:00,223.75,223.96,223.75,223.96,56.0,223.948,223.95587,47.82608695652215,224.05,1
2025-03-25 18:35:00,223.95,223.95,223.95,223.95,10.0,223.93800000000002,223.94987,44.94382022471899,224.2,1
2025-03-25 18:36:00,223.9,223.95,223.9,223.95,140.0,223.946,223.954,53.333333333332064,224.12,1
2025-03-25 18:37:00,223.95,224.11,223.9,223.97,1171.0,223.948,223.961,41.66666666666785,224.05,1
2025-03-25 18:38:00,224.12,224.25,223.98,224.25,2302.0,224.016,223.98600000000002,58.82352941176451,224.03,0
2025-03-25 18:39:00,224.24,224.24,224.05,224.05,157.0,224.03399999999996,223.99099999999999,52.08333333333432,224.07,1
2025-03-25 18:40:00,224.13,224.2,224.06,224.2,1128.0,224.084,224.01100000000002,64.43937741647511,224.14,0
2025-03-25 18:41:00,224.17,224.17,224.06,224.12,375.0,224.118,224.032,60.18518518518502,224.14,1
2025-03-25 18:42:00,224.1,224.15,224.05,224.05,138.0,224.13400000000001,224.041,52.3809523809529,224.1,1
2025-03-25 18:43:00,224.12,224.12,224.03,224.03,61.0,224.09,224.05300000000003,51.40186915887853,224.1462,1
2025-03-25 18:44:00,224.07,224.14,224.07,224.07,61.0,224.094,224.064,53.153153153152815,224.1,1
2025-03-25 18:45:00,224.1,224.14,224.08,224.14,5.0,224.08200000000002,224.083,60.55045871559582,224.11,0
2025-03-25 18:46:00,224.14,224.15,224.14,224.14,112.0,224.086,224.102,58.65384615384518,224.1,0
2025-03-25 18:47:00,224.1365,224.14,224.1,224.1,152.0,224.096,224.115,59.22330097087392,224.1,0
2025-03-25 18:48:00,224.1,224.1462,224.1,224.1462,55.0,224.11924,224.10461999999998,59.0723055934512,224.08,0
2025-03-25 18:49:00,224.148,224.148,224.1,224.1,86.0,224.12524,224.10962,57.059487951807895,224.07,0
2025-03-25 18:50:00,224.1,224.15,224.1,224.11,44.0,224.11924,224.10062,57.45990302126217,224.06,0
