timestamp,open,high,low,close,volume
2025-03-26 18:20:00,221.0,221.0,220.93,220.99,125.0
2025-03-26 18:21:00,220.99,221.0,220.93,220.93,58.0
2025-03-26 18:22:00,220.9252,220.99,220.92,220.92,238.0
2025-03-26 18:23:00,220.92,221.21,220.92,221.0,606.0
2025-03-26 18:24:00,221.0,221.08,220.85,220.92,562.0
2025-03-26 18:25:00,221.13,221.13,220.857,220.92,87.0
2025-03-26 18:26:00,221.0,221.13,220.78,221.05,1095.0
2025-03-26 18:27:00,220.86,220.86,220.6,220.6767,1160.0
2025-03-26 18:28:00,220.6767,220.98,220.6,220.74,138.0
2025-03-26 18:29:00,220.6,220.97,220.59,220.88,2777.0
2025-03-26 18:30:00,220.8913,221.14,220.55,220.81,2303.0
2025-03-26 18:31:00,220.81,220.99,220.5742,220.82,9.0
2025-03-26 18:32:00,220.99,221.1077,220.81,220.82,78.0
2025-03-26 18:33:00,220.98,220.98,220.83,220.85,118.0
2025-03-26 18:34:00,220.6,221.53,220.6,220.86,176.0
2025-03-26 18:35:00,221.53,221.53,220.82,220.9922,168.0
2025-03-26 18:36:00,220.83,221.0,220.58,220.67,142.0
2025-03-26 18:37:00,220.67,220.9,220.55,220.76,220.0
2025-03-26 18:38:00,220.55,220.76,220.55,220.76,26.0
2025-03-26 18:39:00,220.9,221.13,220.55,220.7,1077.0
2025-03-26 18:40:00,220.96,221.13,220.6,221.0,210.0
2025-03-26 18:41:00,220.91,220.98,220.67,220.905,40.0
2025-03-26 18:42:00,220.69,220.9,220.66,220.9,151.0
2025-03-26 18:43:00,220.89,220.9,220.65,220.9,75.0
2025-03-26 18:44:00,220.9,220.9,220.65,220.65,1265.0
2025-03-26 18:45:00,220.88,220.97,220.86,220.86,296.0
2025-03-26 18:46:00,220.65,220.91,220.65,220.88,224.0
2025-03-26 18:47:00,220.7,220.88,220.65,220.77,439.0
2025-03-26 18:48:00,220.85,220.85,220.6401,220.75,89.0
2025-03-26 18:49:00,220.64,221.19,220.64,220.99,3211.0
2025-03-26 18:50:00,220.86,221.1,220.69,221.07,727.0
2025-03-26 18:51:00,221.0,221.0,220.85,220.86,484.0
2025-03-26 18:52:00,220.93,220.93,220.85,220.86,86.0
2025-03-26 18:53:00,220.65,221.0,220.65,220.9,132.0
2025-03-26 18:54:00,220.77,221.0,220.77,221.0,236.0
2025-03-26 18:55:00,220.85,220.96,220.65,220.96,664.0
2025-03-26 18:56:00,220.9,221.0,220.75,220.93,68.0
2025-03-26 18:57:00,220.79,221.0,220.6957,220.75,996.0
2025-03-26 18:58:00,221.0,221.0,220.75,220.77,7.0
2025-03-26 18:59:00,220.93,220.9913,220.75,220.75,148.0
2025-03-26 19:00:00,220.75,220.77,220.65,220.77,267.0
2025-03-26 19:01:00,220.65,220.75,220.65,220.65,117.0
2025-03-26 19:02:00,220.88,220.9,220.7,220.7,282.0
2025-03-26 19:03:00,220.84,221.0,220.65,220.97,429.0
2025-03-26 19:04:00,220.99,221.0,220.86,221.0,1175.0
2025-03-26 19:05:00,220.99,220.99,220.99,220.99,1.0
2025-03-26 19:06:00,220.85,221.0,220.75,220.7512,16.0
2025-03-26 19:07:00,220.75,220.99,220.75,220.75,1064.0
2025-03-26 19:08:00,220.75,221.0,220.75,221.0,1979.0
2025-03-26 19:09:00,220.75,220.95,220.75,220.95,9.0
2025-03-26 19:10:00,220.82,220.94,220.75,220.8,345.0
2025-03-26 19:11:00,220.89,220.93,220.89,220.93,125.0
2025-03-26 19:12:00,220.85,220.95,220.8,220.95,140.0
2025-03-26 19:13:00,220.95,220.98,220.92,220.94,253.0
2025-03-26 19:14:00,220.85,220.85,220.75,220.85,112.0
2025-03-26 19:15:00,220.85,220.94,220.755,220.94,352.0
2025-03-26 19:16:00,220.92,220.94,220.85,220.85,139.0
2025-03-26 19:17:00,220.85,220.9,220.75,220.81,252.0
2025-03-26 19:18:00,220.93,221.0,220.85,220.93,2639.0
2025-03-26 19:19:00,220.95,221.0,220.93,221.0,298.0
2025-03-26 19:20:00,220.95,220.97,220.7501,220.82,2261.0
2025-03-26 19:21:00,220.88,220.99,220.82,220.85,1396.0
2025-03-26 19:22:00,220.86,220.9532,220.86,220.86,601.0
2025-03-26 19:23:00,220.88,220.98,220.7562,220.87,340.0
2025-03-26 19:24:00,220.75,220.97,220.75,220.83,427.0
2025-03-26 19:25:00,220.9499,221.08,220.755,220.7555,3061.0
2025-03-26 19:26:00,220.8,221.0,220.8,220.99,2540.0
2025-03-26 19:27:00,220.9,220.9938,220.8,220.8,225.0
2025-03-26 19:28:00,220.8,220.91,220.8,220.9,157.0
2025-03-26 19:29:00,220.9,221.0,220.8,220.99,356.0
2025-03-26 19:30:00,220.99,221.08,220.75,221.07,964.0
2025-03-26 19:31:00,221.12,221.12,220.8,221.01,541.0
2025-03-26 19:32:00,221.01,221.09,220.75,220.98,917.0
2025-03-26 19:33:00,220.99,221.09,220.99,220.99,355.0
2025-03-26 19:34:00,220.99,221.09,220.94,220.95,47.0
2025-03-26 19:35:00,221.0899,221.0899,220.98,221.0862,71.0
2025-03-26 19:36:00,220.98,221.11,220.94,221.0,510.0
2025-03-26 19:37:00,221.0,221.0,220.96,220.96,123.0
2025-03-26 19:38:00,221.0,221.13,220.94,220.94,69.0
2025-03-26 19:39:00,221.0,221.11,221.0,221.0,190.0
2025-03-26 19:40:00,221.0,221.03,220.94,220.95,1187.0
2025-03-26 19:41:00,220.98,221.09,220.98,221.0,73.0
2025-03-26 19:42:00,221.13,221.13,220.9512,221.13,1490.0
2025-03-26 19:43:00,221.1,221.25,221.0,221.25,2154.0
2025-03-26 19:44:00,221.2,221.3,221.1,221.3,459.0
2025-03-26 19:45:00,221.29,221.45,221.25,221.31,558.0
2025-03-26 19:46:00,221.34,221.44,221.1077,221.31,622.0
2025-03-26 19:47:00,221.48,221.48,221.22,221.22,1348.0
2025-03-26 19:48:00,221.36,221.41,221.17,221.28,627.0
